Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-8721		[yegD 2,147,674 &rarr; 2,149,026]	EG12200	+
TU0-13776		[hyuA 3,010,028 &rarr; 3,011,413]	G7492	+
TU00229	PD03585 // CPLX0-226	[gntT 3,546,333 &rarr; 3,547,875]	EG12380	+
TU0-14182		[yjgX 4,499,593 &larr; 4,500,791]	G7898	-
TU561	PD00406 // PD00365	[pqiABC 1,011,623 &rarr; 1,015,459]	G6492 // G6491 // G6490	+
TU0-14702	PHOSPHO-PHOP // PHOSPHO-OMPR	[tolC-ygiBC 3,178,012 &rarr; 3,181,581]	EG11165 // EG11164 // EG11009	+
TU0-1191	PD00288 // MONOMER0-155 // CPLX0-7705	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-12876		[paoABCD 297,770 &larr; 302,573]	G6157 // G6156 // G6155 // G6154	-
TU0-42626		[sdiA 1,996,110 &larr; 1,996,910]	EG10935	-
TU0-7044	PC00010 // MONOMER0-160	[uvrB 813,152 &rarr; 815,547]	EG11062	+
TU0-13285		[yddM 1,552,398 &larr; 1,552,682]	G6774	-
TU0-8704	G7072-MONOMER	[eamA 1,620,238 &larr; 1,621,137]	EG11639	-
TU0-13759	G7072-MONOMER	[yqeH 2,987,536 &rarr; 2,988,168]	G7466	+
TU00212	PHOSPHO-NARL // PHOSPHO-TORR // G7072-MONOMER	[torCAD 1,057,977 &rarr; 1,062,398]	EG11815 // EG11814 // EG12195	+
TU0-14164		[ytfL 4,439,872 &larr; 4,441,215]	G7873	-
TU491	PD00365 // CPLX0-226	[xseA 2,634,197 &rarr; 2,635,602]	EG11072	+
TU0-14680	PD00353	[gpt 255,914 &rarr; 256,474]	EG10414	+
TU0-1106		[aqpZ 915,352 &larr; 916,047]	EG13270	-
TU0-12860		[ykfA-yafZ 267,184 &larr; 268,960]	G6128 // G6127	-
TU0-42593	CPLX0-2781	[ariR 1,216,369 &rarr; 1,216,635]	G6606	+
TU0-6882	PD00353	[ilvIH 85,540 &rarr; 87,848]	EG10499 // EG10500	+
TU0-13267		[ydcR 1,509,978 &rarr; 1,511,409]	G6750	+
TU0-8687	G7072-MONOMER // EG12386-MONOMER	[ycgJ 1,226,600 &rarr; 1,226,968]	G6614	+
TU0-13741		[csdAE 2,943,337 &rarr; 2,944,985]	G7455 // G7454	+
TU00196	PC00061 // PD01896 // PD00266 // CPLX0-226	[manXYZ 1,901,840 &rarr; 1,904,746]	EG10567 // EG10568 // EG10569	+
TU0-14147	G7072-MONOMER // PD00353	[yjeM 4,383,839 &rarr; 4,385,341]	EG12475	+
TU404		[glpR 3,559,754 &larr; 3,560,756]	EG10400	-
TU0-14661		[yheO-tusDCB 3,474,678 &larr; 3,476,541]	G7712 // G7713 // G7714 // G7715	-
TU-8438	G7072-MONOMER	[ftnB 1,986,775 &rarr; 1,987,428]	G7033	+
TU0-12841	G7072-MONOMER	[mltD 232,597 &larr; 233,955]	EG10246	-
TU0-42569	PD00353	[serC 957,579 &rarr; 958,741]	EG10946	+
TU0-6653		[pheLA 2,737,579 &rarr; 2,738,940]	EG10707 // EG11271	+
TU0-13250	CPLX0-7916	[ynbABCD 1,477,597 &rarr; 1,482,201]	G6730 // G6729 // G6728 // G6727	+
TU0-8670		[ybjD 916,473 &rarr; 918,131]	G6459	+
TU0-13724		[ygbE 2,873,014 &larr; 2,873,337]	EG12707	-
TU00180	PC00010	[umuDC 1,230,717 &rarr; 1,232,454]	EG11057 // EG11056	+
TU0-14128		[mdtNOP 4,299,564 &larr; 4,304,109]	EG11954 // EG11953 // EG11952	-
TU352	CPLX0-7797 // PHOSPHO-ARCA	[arcA 4,639,539 &larr; 4,640,801]	EG10061	-
TU0-14640		[glk 2,508,424 &larr; 2,509,447]	EG12957	-
TU-8408	PD01379 // CPLX0-3930	[fliE 2,012,700 &larr; 2,013,036]	EG11346	-
TU0-12822		[mnt-btuF-yadS 177,001 &larr; 179,183]	EG11090 // EG12334 // EG12333	-
TU0-42543	CPLX0-7705 // CPLX0-8593 // CPLX0-226 // G7072-MONOMER	[nanA 3,372,683 &larr; 3,373,620]	EG10637	-
TU0-6623		[tesA-ybbO 518,340 &larr; 519,949]	G6269 // EG11542	-
TU0-13232		[rzoR 1,423,400 &rarr; 1,423,585]	G0-10449	+
TU0-8651		[yphH 2,682,863 &rarr; 2,684,056]	G7344	+
TU0-13705		[ygaQ 2,786,397 &rarr; 2,788,649]	G7389	+
TU00164	PD01352 // CPLX0-7639	[fepB 623,554 &larr; 624,727]	EG10294	-
TU0-14112		[yjbFGH 4,236,262 &rarr; 4,239,730]	EG11926 // EG11925 // EG11924	+
TU262	G7072-MONOMER	[mobAB 4,040,906 &larr; 4,042,030]	EG11828 // EG11829	-
TU0-14618		[ltaE-ybjT 906,852 &larr; 909,320]	G6454 // G6455	-
TU-8385		[bamB-der 2,635,884 &larr; 2,638,975]	G7319 // G7320	-
TU0-12807	EG12123-MONOMER // CPLX0-8563 // PD00288 // PD00519 // PD00353 // G7072-MONOMER	[leuO 84,188 &rarr; 85,312]	EG10531	+
TU0-42516	PC00027 // PD00353 // G7072-MONOMER	[ilvL 3,950,218 &rarr; 3,950,471]	EG11270	+
TU0-6551		[gltX 2,519,208 &larr; 2,520,784]	EG10407	-
TU0-13215		[ymjC-mpaA 1,389,870 &larr; 1,390,862]	G0-10446 // G6662	-
TU0-8635		[ymfI 1,201,497 &rarr; 1,201,838]	G6587	+
TU0-13689		[alpA 2,758,644 &rarr; 2,758,856]	EG12112	+
TU00148	CPLX0-7714 // CPLX0-226	[dsdXA 2,477,703 &rarr; 2,480,530]	EG10250 // EG10249	+
TU0-14089		[yijE 4,136,108 &rarr; 4,137,013]	EG11902	+
TU123	PHOSPHO-ARCA	[putP 1,079,291 &rarr; 1,080,838]	EG10802	+
TU0-14571	PD00288 // PD00519 // EG12386-MONOMER	[yjjQ-bglJ 4,603,319 &rarr; 4,604,837]	G7948 // G7947	+
TU0-12789		[yaaJ 6,529 &larr; 7,959]	EG11555	-
TU0-42493		[cspI 1,638,455 &larr; 1,638,712]	G6825	-
TU0-6486	CPLX0-226 // G7571-MONOMER // PD00288	[cspD 922,366 &larr; 922,676]	EG11111	-
TU0-13195		[rluB 1,326,852 &rarr; 1,327,727]	EG12433	+
TU0-8616		[yjgB 4,495,190 &larr; 4,496,209]	EG11436	-
TU0-13669	G7072-MONOMER	[yfhL 2,699,633 &rarr; 2,699,923]	G7346	+
TU00131	PD00208 // MONOMER0-161 // CPLX0-226	[melAB 4,341,648 &rarr; 4,344,790]	EG10577 // EG10578	+
TU0-14068		[yihUTS 4,070,515 &larr; 4,073,586]	EG11847 // EG11846 // EG11845	-
TU00517	CPLX0-7705 // G7072-MONOMER	[metY-yhbC-nusA-infB 3,313,185 &larr; 3,318,297]	EG10505 // EG10665 // EG11179 // EG30061	-
TU0-14547		[alsBACE 4,307,783 &larr; 4,312,072]	EG11957 // EG11958 // EG11959 // EG12458	-
TU0-42470	PHOSPHO-CREB	[recG 3,825,210 &rarr; 3,827,291]	EG10829	+
TU0-6407		[pyrF-yciH 1,341,870 &rarr; 1,342,984]	EG11128 // EG10809	+
TU0-13175		[ldcA 1,242,166 &larr; 1,243,080]	G6621	-
TU0-8599		[cbrA 3,869,377 &rarr; 3,870,441]	EG11714	+
TU0-13651	PHOSPHO-ARCA	[ndk 2,644,433 &larr; 2,644,864]	EG10650	-
TU00115	PC00061 // PD00251 // PHOSPHO-ARCA	[betIBA 325,577 &larr; 329,361]	EG10109 // EG10110 // EG10111	-
TU0-14051		[rmuC 4,017,333 &rarr; 4,018,760]	EG11472	+
TU00501	CPLX0-7705	[pheV 3,110,290 &rarr; 3,110,477]	EG30065	+
TU0-14524		[rrlH-rrfH 225,729 &rarr; 228,875]	EG30076 // EG30083	+
TU0-42451	G7072-MONOMER	[araFGH 1,982,554 &larr; 1,986,148]	EG10059 // EG10058 // EG10057	-
TU0-6003	CPLX0-7748 // G7072-MONOMER	[yidQ 3,867,290 &rarr; 3,868,060]	EG11712	+
TU0-13157	G7072-MONOMER	[ycgX 1,212,703 &larr; 1,213,107]	G6601	-
TU0-8583	PD00353	[panZ 3,597,984 &rarr; 3,598,367]	EG12211	+
TU0-13634	EG10442-MONOMER	[eutHA 2,565,481 &larr; 2,568,107]	G7282 // G7281	-
TU00098	CPLX0-226 // CPLX-172 // G7072-MONOMER	[araFGH 1,982,554 &larr; 1,986,238]	EG10059 // EG10058 // EG10057	-
TU0-13564		[rpnE-ypaA 2,356,904 &rarr; 2,358,001]	G0-10561 // EG12323	+
TU0-14034	EG11721-MONOMER	[ppiC 3,959,532 &larr; 3,959,841]	EG12352	-
TU00485	CPLX0-228 // PD00353 // G7072-MONOMER	[pyrLBI 4,470,986 &larr; 4,472,745]	EG11279 // EG10811 // EG10805	-
TU0-14502		[fucR 2,939,338 &rarr; 2,940,099]	EG10353	+
TU0-4187	PD01520 // PHOSPHO-ARCA // CPLX0-226 // PD04418	[fadD-sroD 1,888,017 &larr; 1,889,807]	G0-9384 // EG11530	-
TU0-5621	PD00353	[arcB 3,350,689 &larr; 3,353,049]	EG10062	-
TU0-13140		[ycfT 1,174,092 &larr; 1,175,165]	G6572	-
TU0-8565	G7072-MONOMER	[ybhD 799,622 &larr; 800,575]	G6398	-
TU0-13616		[ypeC 2,511,001 &rarr; 2,511,327]	G7252	+
TU00082	CPLX-123	[purEK 551,527 &larr; 553,142]	EG10796 // EG10793	-
TU0-13548	PHOSPHO-ARCA	[yeiQ 2,266,245 &rarr; 2,267,711]	EG12036	+
TU0-14018	CPLX0-226 // CPLX0-8578	[dgoRKADT 3,870,438 &larr; 3,875,185]	G7789 // EG20051 // EG20049 // GB4478 // EG20053	-
TU00469	PD00353	[glgCAP 3,564,082 &larr; 3,569,455]	EG10380 // EG10377 // EG10379	-
TU0-14479		[hslR-hslO 3,529,110 &rarr; 3,530,652]	G7744 // G7743	+
TU0-4146	CPLX0-7748 // EG11544-MONOMER	[hlpA-lpxD-fabZ-lpxA 200,354 &rarr; 203,348]	EG10545 // EG11284 // EG10316 // EG10455	+
TU0-5402	MONOMER0-158	[malZ 422,421 &rarr; 424,553]	EG10565	+
TU0-13123		[ymdB-clsC 1,105,803 &rarr; 1,107,776]	G6551 // G6550	+
TU0-8549		[yahO 346,432 &rarr; 346,759]	G6194	+
TU0-13600		[intS 2,466,515 &rarr; 2,467,702]	G7218	+
TU00066	CPLX0-8597 // PC00010 // PD00353	[sulA 1,020,410 &larr; 1,020,947]	EG10984	-
TU0-13528	G7072-MONOMER	[yohO 2,215,657 &rarr; 2,215,764]	G0-10459	+
TU0-14002	PC00010	[dinD 3,817,699 &rarr; 3,818,584]	EG11193	+
TU00451		[yecM-cutC 1,958,447 &larr; 1,959,846]	G7025 // G7024	-
TU0-14459	PD00353 // PHOSPHO-ARCA // CPLX0-228	[potFGHI 893,634 &rarr; 897,929]	EG11632 // EG11631 // EG11630 // EG11629	+
TU0-3645	PD01352 // PROTEIN-NRIP // PHOSPHO-PHOP // PHOSPHO-ARCA // G7072-MONOMER	[rutABCDEFG 1,068,511 &larr; 1,074,026]	G6523 // G6522 // G6521 // G6520 // G6519 // G6518 // G6517	-
TU0-5101	CPLX0-7797 // CPLX0-7639 // EG11544-MONOMER	[gnd 2,099,862 &larr; 2,101,324]	EG10411	-
TU0-13107		[gfcBCD 1,045,849 &larr; 1,049,332]	G6507 // G6506 // G6505	-
TU0-8533		[ubiF 695,101 &rarr; 696,276]	G6365	+
TU0-13583	G7072-MONOMER	[yfbV 2,412,677 &larr; 2,413,132]	G7189	-
TU00050	PHOSPHO-PHOB // PHOSPHO-RSTA // CPLX0-7748 // PHOSPHO-OMPR // PC00027 // PD00969 // CPLX0-226 // CPLX0-7639 // G7072-MONOMER	[ompF 985,831 &larr; 987,092]	EG10671	-
TU0-13511		[yegX 2,182,833 &larr; 2,183,651]	G7134	-
TU0-13987		[yiaY 3,756,676 &larr; 3,757,827]	EG12293	-
TU00434	EG11431-MONOMER	[rpsU-dnaG-rpoD 3,210,712 &rarr; 3,214,962]	EG10920 // EG10239 // EG10896	+
TU0-14423		[ryfD 2,734,153 &larr; 2,734,295]	G0-10600	-
TU0-36420	PHOSPHO-PHOB	[phoU 3,906,853 &larr; 3,907,665]	EG10735	-
TU0-4924		[idnR 4,490,141 &larr; 4,491,182]	G7891	-
TU0-13089		[ycbJ 971,672 &rarr; 972,645]	G6473	+
TU0-8514		[sraA 458,728 &larr; 458,784]	G0-8861	-
TU00034	CPLX0-7639 // PD00214 // G7072-MONOMER // CPLX0-7797	[katG 4,133,699 &rarr; 4,136,015]	EG10511	+
TU0-13492	G7072-MONOMER	[yeeZ 2,088,304 &larr; 2,089,128]	G7089	-
TU0-13969		[yhjG 3,676,290 &larr; 3,678,412]	EG12251	-
TU00417		[dnaKJ 12,123 &rarr; 15,298]	G0-8893 // EG10241 // EG10240	+
TU0-3621	PROTEIN-NRIP // PD00353	[yeaGH 1,866,815 &rarr; 1,870,238]	G6970 // G6969	+
TU0-4703		[lacZYA 361,140 &larr; 366,377]	EG10524 // EG10526 // EG10527	-
TU0-13073	G7072-MONOMER	[ybjQ-amiD 904,517 &rarr; 905,743]	G6452 // G6451	+
TU0-8497		[rdlB 1,269,858 &rarr; 1,269,923]	G0-9606	+
TU00018	PD01196 // CPLX0-7740 // CPLX0-6 // CPLX0-226 // CPLX0-7705 // PD00353	[deoCABD 4,616,391 &rarr; 4,621,659]	EG10221 // EG10219 // EG10220 // EG10222	+
TU0-13473		[yeeL 2,052,276 &larr; 2,053,328]	G7066	-
TU0-13949		[yhhH 3,623,399 &rarr; 3,623,782]	EG11520	+
TU00400	G7072-MONOMER	[htpX 1,911,652 &larr; 1,912,618]	EG10462	-
TU0-14386	G7072-MONOMER	[mreBCD 3,398,387 &larr; 3,401,193]	EG10610 // EG10609 // EG10608	-
TU0-3403	CPLX0-7639 // G7072-MONOMER	[ygaC 2,799,650 &larr; 2,800,590]	EG12201	-
TU0-45284	PHOSPHO-OMPR // PD00288	[bolA 454,386 &rarr; 454,865]	EG10125	+
TU0-13056	G6761-MONOMER // G7072-MONOMER	[mcbA 841,796 &larr; 842,153]	G6415	-
TU0-45227	CPLX0-7705 // MONOMER0-155 // PD00288	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-8480	G7326-MONOMER	[erpA 176,533 &rarr; 176,954]	EG12332	+
TU00002	PD00230	[alkA 2,146,692 &larr; 2,147,559]	EG11222	-
TU0-13455		[yedEF 2,008,277 &rarr; 2,009,712]	EG11661 // EG11660	+
TU0-13931	G7072-MONOMER	[greB 3,536,812 &rarr; 3,537,288]	EG11578	+
TU00384	EG12105-MONOMER	[pflB 951,207 &larr; 953,925]	EG10701	-
TU0-14364	PD00353	[mnmA 1,192,667 &larr; 1,193,803]	EG11344	-
TU0-3123	EG12243-MONOMER	[glsA-ybaT 511,573 &rarr; 513,868]	G6262 // G6261	+
TU0-45268	PHOSPHO-ARCA // CPLX0-7852 // CPLX0-7797 // CPLX0-226 // PD00288 // CPLX0-7705 // PHOSPHO-RCSB // EG11966-MONOMER // EG12243-MONOMER // EG12242-MONOMER // G7072-MONOMER // EG12386-MONOMER // PHOSPHO-TORR	[gadAX 3,664,915 &larr; 3,667,607]	EG12243 // EG50009	-
TU0-13039	PD00353	[ybgS 784,937 &larr; 785,317]	G6394	-
TU0-45212		[clpB 2,731,557 &larr; 2,734,205]	EG10157	-
TU0-8380	PHOSPHO-OMPR	[lpp 1,757,296 &rarr; 1,757,657]	EG10544	+
TU0-8868		[dnaTC 4,600,139 &larr; 4,601,615]	EG10237 // EG10244	-
TU0-13437	PD00353	[yebF 1,930,034 &larr; 1,930,390]	EG11807	-
TU0-13913	CPLX0-7639 // PD00288 // G7072-MONOMER	[gspCDEFGHIJKLMO 3,455,531 &rarr; 3,466,220]	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU00367	G7072-MONOMER	[ybgC-tolQRA 774,752 &rarr; 777,607]	EG11110 // EG11010 // EG11011 // EG11007	+
TU0-14344		[ligT 161,501 &larr; 162,031]	EG12330	-
TU0-2621	CPLX0-7756 // CPLX0-7639 // PD00214 // PC00027 // G7326-MONOMER	[sufABCDSE 1,758,874 &larr; 1,764,418]	G6905 // G6906 // G6907 // G6908 // G6909 // EG11378	-
TU0-45252	CPLX0-7639	[gpmA 786,843 &larr; 787,632]	EG11699	-
TU0-13023		[ybfF 712,038 &larr; 712,802]	EG11776	-
TU0-45197	PD00288 // CPLX0-226 // G7072-MONOMER // PD00353	[csiE 2,665,358 &rarr; 2,666,715]	G7329	+
TU0-8352	PD00353 // G7072-MONOMER // EG12386-MONOMER	[bssS 1,120,701 &larr; 1,121,032]	G6557	-
TU0-8841	G7072-MONOMER	[kdgR 1,909,308 &larr; 1,910,099]	G7003	-
TU0-13420	CPLX0-7639 // CPLX0-7672	[mntP 1,905,459 &rarr; 1,906,254]	G6999	+
TU0-13896		[zapE 3,378,870 &larr; 3,379,997]	G7680	-
TU00351	CPLX0-7797	[rpsP-rimM-trmD-rplS 2,744,115 &larr; 2,746,254]	EG10880 // EG11023 // EG11153 // EG10915	-
TU0-14323		[yjhA 4,538,785 &larr; 4,539,501]	G7921	-
TU0-2405		[mhpR-lacI 366,428 &larr; 368,528]	EG10525 // G6201	-
TU0-45237		[pstB-phoU 3,906,853 &larr; 3,908,556]	EG10735 // EG10783	-
TU0-13005		[ybeF 660,425 &larr; 661,378]	EG11594	-
TU0-45181	CPLX0-7705 // PHOSPHO-NARL // PC00061 // PD00353 // CPLX0-7797	[adhE 1,295,446 &larr; 1,298,413]	EG10031	-
TU0-8334	CPLX0-226 // PD04418	[ldtB 854,824 &larr; 855,786]	G6422	-
TU0-8825		[mdtK 1,743,457 &rarr; 1,744,830]	EG12400	+
TU0-13405		[yeaO 1,876,909 &rarr; 1,877,256]	G6978	+
TU0-13879	PD00406 // PD04418 // PD00365	[yhbW 3,303,448 &rarr; 3,304,455]	G7654	+
TU00332		[rnc-era 2,702,481 &larr; 2,704,223]	EG10270 // EG10857	-
TU0-14304		[yeiI 2,251,700 &rarr; 2,252,788]	EG12028	+
TU0-1962	EG11088-MONOMER // PHOSPHO-ARCA // MONOMER0-562 // PC00027 // PD00353 // G7072-MONOMER	[glcDEFGBA 3,119,597 &larr; 3,128,076]	G7542 // EG20080 // G7543 // G0-8601 // G7544 // G7545	-
TU0-12989	G7072-MONOMER	[ybdK 606,265 &larr; 607,383]	G6326	-
TU0-45165	CPLX0-7705 // MONOMER0-155	[rrsA-ileT-alaT-rrlA-rrfA 4,035,106 &rarr; 4,040,636]	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	+
TU0-8265	PC00010	[ybfE 711,605 &larr; 711,939]	EG11775	-
TU0-881	MONOMER-53 // MONOMER-52	[galR 2,976,569 &rarr; 2,977,630]	EG10364	+
TU0-13386		[nadE 1,822,302 &rarr; 1,823,285]	EG10663	+
TU0-13863		[yqjCDEK 3,248,969 &rarr; 3,250,376]	G7614 // G7613 // G7612 // G7611	+
TU00313		[panBC 147,944 &larr; 149,630]	EG11746 // EG11675	-
TU0-14286	CPLX0-7748	[yqjA-mzrA 3,247,501 &rarr; 3,248,822]	G7610 // G7609	+
TU0-1741	PD00406	[ribA 1,338,512 &larr; 1,339,190]	EG11331	-
TU0-12969		[exoD 566,098 &larr; 566,361]	G6295	-
TU0-4502	G7821-MONOMER	[alsRBACE 4,307,783 &larr; 4,313,137]	EG11957 // EG11958 // EG11959 // EG12458 // G7821	-
TU0-8182		[gloA 1,727,801 &rarr; 1,728,244]	G6891	+
TU0-13370	CPLX0-7748 // PHOSPHO-RCSB	[rprA 1,770,372 &rarr; 1,770,477]	G0-8863	+
TU0-8792		[envR 3,412,803 &larr; 3,413,465]	EG11741	-
TU0-13845		[sibD 3,194,721 &larr; 3,194,865]	G0-8913	-
TU00297		[mdoGH 1,109,278 &rarr; 1,113,560]	EG11885 // EG11886	+
TU0-14253		[lsp-fkpB-ispH 25,014 &rarr; 27,279]	EG11081 // EG11080 // EG10548	+
TU0-1501	CPLX0-7705	[flxA 1,646,388 &rarr; 1,646,737]	G6833	+
TU0-12951	PD00214 // G7072-MONOMER	[hemH 497,998 &rarr; 499,017]	EG10431	+
TU0-44218		[aroM 407,400 &rarr; 408,105]	EG10083	+
TU0-8061		[tpiA 4,110,740 &larr; 4,111,524]	EG11015	-
TU0-13354		[mliC 1,718,066 &larr; 1,718,395]	EG11488	-
TU0-8772		[bioH 3,544,074 &larr; 3,544,858]	EG10122	-
TU0-13828		[ftsP 3,161,257 &larr; 3,162,669]	EG11376	-
TU00278		[ftsYEX 3,601,028 &larr; 3,604,243]	EG10345 // EG10340 // EG10346	-
TU0-14233		[yghO 3,129,043 &larr; 3,130,215]	G7547	-
TU797	CPLX0-226 // G7072-MONOMER	[spf 4,049,814 &rarr; 4,050,016]	EG30098	+
TU0-14801	G6638-MONOMER // PD00353	[rdcAB 4,327,079 &rarr; 4,330,238]	G7823 // EG11210	+
TU0-1423	CPLX0-228	[ftsZ 105,045 &rarr; 106,456]	EG10347	+
TU794	PD04418 // PD00365 // PD00406 // PHOSPHO-ARCA // CPLX0-7797 // CPLX0-226 // PC00061	[acnA 1,335,740 &rarr; 1,338,506]	EG11325	+
TU0-14797	PHOSPHO-PHOP	[mgrR 1,622,817 &larr; 1,622,914]	G0-10671	-
TU0-12928		[tig 454,993 &rarr; 456,431]	EG11003	+
TU0-44199		[frlR 3,504,043 &rarr; 3,504,783]	G7727	+
TU0-7784	PHOSPHO-PHOP // PHOSPHO-ARCA	[rstAB 1,682,094 &rarr; 1,684,183]	EG11233 // G6864	+
TU0-13333	G6814-MONOMER // CPLX0-226	[rspA-rspB 1,652,896 &larr; 1,655,171]	G6839 // G6838	-
TU0-8750		[yggR 3,094,100 &larr; 3,095,080]	G7526	-
TU0-13808		[yggM 3,098,558 &larr; 3,099,565]	EG12704	-
TU00258		[def-fmt 3,433,650 &rarr; 3,435,161]	EG11440 // EG11268	+
TU0-14213	PD00288 // EG12386-MONOMER	[yjjP 4,602,088 &larr; 4,603,034]	G7946	-
TU702	PC00027 // PD00288	[proVWX 2,804,722 &rarr; 2,808,124]	EG10773 // EG10772 // EG10771	+
TU0-14767	CPLX0-226	[azuC 1,987,873 &larr; 1,988,001]	G0-10653	-
TU0-12908	G7072-MONOMER	[hemB 388,753 &larr; 389,754]	EG10428	-
TU0-42700		[glpQ 2,349,935 &larr; 2,351,124]	EG10399	-
TU0-7581	PC00010	[polB 63,429 &larr; 65,803]	EG10747	-
TU0-13316	G7072-MONOMER	[pinQ 1,633,622 &rarr; 1,634,212]	G6819	+
TU0-8734		[yfdY 2,495,050 &larr; 2,495,292]	G7240	-
TU0-13789		[yqfA 3,042,489 &larr; 3,043,148]	G7512	-
TU00242	PD00288	[ascG 2,838,254 &larr; 2,839,264]	EG10087	-
TU0-14196		[nanS 4,536,614 &larr; 4,537,594]	G7919	-
TU602		[yceD-rpmF 1,146,791 &rarr; 1,147,540]	EG10890 // EG11119	+
TU0-14740		[pepA 4,484,440 &larr; 4,486,112]	EG10694	-
TU0-12889	PC00061 // PD00288 // G7072-MONOMER	[pdeL 331,879 &rarr; 333,459]	EG11236	+
TU0-42666		[ymdB 1,105,803 &rarr; 1,106,353]	G6550	+
TU0-7262		[moaBCDE 817,977 &rarr; 819,747]	EG11598 // EG11597 // EG11666 // EG11596	+
TU0-13299	CPLX0-226 // CPLX0-8043	[lsrRK 1,598,617 &larr; 1,601,257]	G6798 // G6799	-
TU0-8718		[yedA 2,029,539 &rarr; 2,030,459]	EG11141	+
TU0-13773	CPLX0-226	[ygeW 3,006,262 &rarr; 3,007,452]	G7489	+
TU00226	CPLX0-228	[argE 4,153,696 &larr; 4,154,897]	EG11286	-
TU0-14177		[yjgR 4,488,561 &larr; 4,490,063]	G7890	-
TU543	CPLX0-7705	[rnpB 3,269,962 &larr; 3,270,592]	EG30069	-
TU0-14698	EG12105-MONOMER // PHOSPHO-TORR // G7072-MONOMER	[mdtEF 3,659,145 &rarr; 3,663,527]	EG12241 // EG12240	+
TU0-1188		[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,332]	EG30075 // EG30082 // EG30035 // EG30089	-
TU0-12873		[yagN 295,139 &larr; 295,579]	G6151	-
TU0-42616		[thyA 2,964,320 &larr; 2,965,254]	EG11002	-
TU0-7021	PD00214 // CPLX0-7756 // CPLX0-7797 // PHOSPHO-NARL // PHOSPHO-NARP	[hcp-hcr 911,182 &larr; 913,845]	G6456 // G6457	-
TU0-13281		[yddE 1,534,965 &larr; 1,535,858]	EG11825	-
TU0-8701	EG12386-MONOMER // PD00353	[ydcK 1,499,469 &larr; 1,500,449]	G6741	-
