chrom	type	start	end	name	locus_tag	old_locus_tag	RefSeq	product
1	gene	37813	38556	SAUSA300_RS00155	SAUSA300_RS00155	SAUSA300_0030	WP_001830227.1	glycerophosphoryl diester phosphodiesterase
1	gene	38653	39081	SAUSA300_RS00160	SAUSA300_RS00160	SAUSA300_0031	WP_000872606.1	MaoC family dehydratase
1	gene	39127	41136	mecA	SAUSA300_RS00165	SAUSA300_0032	WP_001801873.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA
1	gene	41233	42219	SAUSA300_RS00170	SAUSA300_RS00170	SAUSA300_0033	WP_001549960.1	beta-lactam sensor/signal transducer MecR1
1	gene	42191	42451	SAUSA300_RS00175	SAUSA300_RS00175	SAUSA300_0035	WP_001549961.1	DUF3387 domain-containing protein
1	pseudogene	42442	44049	SAUSA300_RS00180	SAUSA300_RS00180	SAUSA300_0034	WP_011274780.1	IS1182 family transposase
1	gene	44101	44607	SAUSA300_RS00185	SAUSA300_RS00185	SAUSA300_0036	WP_001092170.1	DUF1643 domain-containing protein
1	gene	44622	44933	SAUSA300_RS00190	SAUSA300_RS00190		WP_002505017.1	DUF960 domain-containing protein
1	gene	45020	45370	SAUSA300_RS00195	SAUSA300_RS00195		WP_002502216.1	hypothetical protein
1	gene	45892	47520	SAUSA300_RS00200	SAUSA300_RS00200	SAUSA300_0037	WP_001186610.1	recombinase family protein
1	gene	47542	48891	SAUSA300_RS00205	SAUSA300_RS00205	SAUSA300_0038	WP_000815654.1	recombinase family protein
1	gene	49125	50912	SAUSA300_RS00210	SAUSA300_RS00210	SAUSA300_0039	WP_001573627.1	DUF927 domain-containing protein
1	gene	50912	51202	SAUSA300_RS00215	SAUSA300_RS00215	SAUSA300_0040	WP_001036438.1	hypothetical protein
1	gene	51341	52390	SAUSA300_RS00220	SAUSA300_RS00220	SAUSA300_0041	WP_000613248.1	hypothetical protein
1	gene	53118	54608	SAUSA300_RS00225	SAUSA300_RS00225	SAUSA300_0042	WP_000554504.1	putative DNA binding domain-containing protein
1	pseudogene	54981	56299	cstB	SAUSA300_RS00235	SAUSA300_0044	WP_002488497.1	persulfide dioxygenase-sulfurtransferase CstB
1	gene	56355	56492	SAUSA300_RS15865	SAUSA300_RS15865		WP_001791883.1	hypothetical protein
1	gene	56489	56860	SAUSA300_RS00240	SAUSA300_RS00240	SAUSA300_0045	WP_001549968.1	HNH endonuclease
1	gene	56989	57609	SAUSA300_RS00245	SAUSA300_RS00245	SAUSA300_0046	WP_000673114.1	hypothetical protein
1	pseudogene	58129	58317	SAUSA300_RS14965	SAUSA300_RS14965		WP_002470060.1	hypothetical protein
1	gene	58526	58696	SAUSA300_RS15870	SAUSA300_RS15870		WP_001141152.1	hypothetical protein
1	gene	59098	60063	SAUSA300_RS00250	SAUSA300_RS00250	SAUSA300_0047	WP_000027972.1	HNH endonuclease
1	gene	60160	60351	SAUSA300_RS00255	SAUSA300_RS00255	SAUSA300_0048	WP_000291518.1	hypothetical protein
1	gene	60443	60772	SAUSA300_RS00260	SAUSA300_RS00260	SAUSA300_0049	WP_002470711.1	hypothetical protein
1	gene	60849	61208	SAUSA300_RS00265	SAUSA300_RS00265	SAUSA300_0050	WP_002434158.1	hypothetical protein
1	pseudogene	61738	62588	SAUSA300_RS00270	SAUSA300_RS00270	SAUSA300_0051	WP_086558285.1	IS3 family transposase
1	gene	63100	63597	SAUSA300_RS00275	SAUSA300_RS00275	SAUSA300_0053	WP_012656763.1	GNAT family N-acetyltransferase
1	gene	64095	65222	SAUSA300_RS00280	SAUSA300_RS00280	SAUSA300_0055	WP_002470719.1	alcohol dehydrogenase catalytic domain-containing protein
1	gene	65477	65701	SAUSA300_RS00285	SAUSA300_RS00285		WP_001832432.1	hypothetical protein
1	gene	65715	66218	SAUSA300_RS00290	SAUSA300_RS00290	SAUSA300_0056	WP_012086592.1	DUF1643 domain-containing protein
1	gene	66234	66545	SAUSA300_RS00295	SAUSA300_RS00295	SAUSA300_0057	WP_002505017.1	hypothetical protein
1	gene	66632	66982	SAUSA300_RS00300	SAUSA300_RS00300	SAUSA300_0059	WP_002502216.1	hypothetical protein
1	pseudogene	67589	67803	SAUSA300_RS14975	SAUSA300_RS14975		WP_000736766.1	D-alanyl-D-alanine carboxypeptidase family protein
1	pseudogene	67790	68790	SAUSA300_RS00305	SAUSA300_RS00305	SAUSA300_0060	WP_086558285.1	IS3 family transposase
1	gene	68890	69819	arcC	SAUSA300_RS00310	SAUSA300_0061	WP_002498813.1	carbamate kinase
1	gene	69839	70837	argF	SAUSA300_RS00315	SAUSA300_0062	YP_499671.1	ornithine carbamoyltransferase
1	gene	70875	71564	SAUSA300_RS00320	SAUSA300_RS00320	SAUSA300_0063	WP_002485352.1	Crp/Fnr family transcriptional regulator
1	gene	71606	73027	arcD	SAUSA300_RS00325	SAUSA300_0064	YP_501417.1	arginine-ornithine antiporter
1	gene	73113	74348	arcA	SAUSA300_RS00330	SAUSA300_0065	YP_501419.1	arginine deiminase
1	gene	74617	75063	SAUSA300_RS00335	SAUSA300_RS00335	SAUSA300_0066	WP_000711814.1	ArgR family transcriptional regulator
1	gene	75565	75996	SAUSA300_RS00340	SAUSA300_RS00340	SAUSA300_0067	WP_000475805.1	universal stress protein
1	pseudogene	76269	76942	SAUSA300_RS14985	SAUSA300_RS14985	SAUSA300_0069	WP_001105942.1	IS6 family transposase
1	gene	77130	77945	SAUSA300_RS00355	SAUSA300_RS00355	SAUSA300_0070	WP_002491360.1	alpha/beta hydrolase
1	gene	78267	79445	SAUSA300_RS00360	SAUSA300_RS00360	SAUSA300_0071	WP_016913246.1	IS110 family transposase
1	gene	79705	80397	SAUSA300_RS00365	SAUSA300_RS00365	SAUSA300_0072	WP_002490836.1	class I SAM-dependent methyltransferase
1	gene	80394	81947	SAUSA300_RS00370	SAUSA300_RS00370	SAUSA300_0073	WP_000747558.1	nickel ABC transporter substrate-binding protein
1	gene	81950	82906	SAUSA300_RS00375	SAUSA300_RS00375	SAUSA300_0074	WP_019165742.1	ABC transporter permease
1	gene	82906	83673	SAUSA300_RS00380	SAUSA300_RS00380	SAUSA300_0075	WP_002469402.1	ABC transporter permease
1	gene	83640	84407	SAUSA300_RS00385	SAUSA300_RS00385	SAUSA300_0076	WP_002504387.1	ABC transporter ATP-binding protein
1	gene	84400	85035	SAUSA300_RS00390	SAUSA300_RS00390	SAUSA300_0077	WP_002490830.1	ATP-binding cassette domain-containing protein
1	gene	86055	88118	SAUSA300_RS00395	SAUSA300_RS00395	SAUSA300_0078	WP_002449344.1	copper-translocating P-type ATPase
1	gene	88136	88681	SAUSA300_RS00400	SAUSA300_RS00400	SAUSA300_0079	WP_000592150.1	DUF1541 domain-containing protein
1	gene	89109	89243	SAUSA300_RS00405	SAUSA300_RS00405		YP_498634.1	hypothetical protein
1	gene	89207	89299	SAUSA300_RS00410	SAUSA300_RS00410	SAUSA300_0080	YP_498635.1	hypothetical protein
1	gene	89446	91197	SAUSA300_RS00415	SAUSA300_RS00415	SAUSA300_0081	YP_498636.1	TIGR04141 family sporadically distributed protein
1	pseudogene	91291	91743	SAUSA300_RS00420	SAUSA300_RS00420	SAUSA300_0082	WP_000662030.1	tRNA-dihydrouridine synthase
1	gene	91759	91860	SAUSA300_RS00425	SAUSA300_RS00425		YP_498638.1	hypothetical protein
1	gene	91958	92713	SAUSA300_RS00430	SAUSA300_RS00430	SAUSA300_0083	YP_498639.1	sulfite exporter TauE/SafE family protein
1	gene	92713	92973	cstR	SAUSA300_RS00435	SAUSA300_0084	YP_498640.1	persulfide-sensing transcriptional repressor CstR
1	gene	93110	94177	cstA	SAUSA300_RS00440	SAUSA300_0085	WP_001837745.1	persulfide response sulfurtransferase CstA
1	gene	94208	95542	cstB	SAUSA300_RS00445	SAUSA300_0086	YP_498642.1	persulfide dioxygenase-sulfurtransferase CstB
1	pseudogene	95561	96754	sqr	SAUSA300_RS15920	SAUSA300_0087	YP_498643.1	type II sulfide:quinone oxidoreductase Sqr
1	gene	97021	97122	SAUSA300_RS00455	SAUSA300_RS00455	SAUSA300_0088		
1	gene	97421	98407	SAUSA300_RS00460	SAUSA300_RS00460	SAUSA300_0089	WP_000662030.1	tRNA-dihydrouridine synthase
1	gene	98716	98919	SAUSA300_RS00465	SAUSA300_RS00465		YP_498646.1	hypothetical protein
1	gene	98968	99264	SAUSA300_RS00470	SAUSA300_RS00470	SAUSA300_0090	WP_000179889.1	TfoX/Sxy family protein
1	gene	99336	100556	SAUSA300_RS00475	SAUSA300_RS00475	SAUSA300_0091	YP_498648.1	MFS transporter
1	pseudogene	100549	101099	SAUSA300_RS00480	SAUSA300_RS00480	SAUSA300_0092	YP_498649.1	flavodoxin family protein
1	gene	101212	102072	SAUSA300_RS00485	SAUSA300_RS00485	SAUSA300_0093	YP_498650.1	LysR family transcriptional regulator
1	gene	102427	102960	SAUSA300_RS00490	SAUSA300_RS00490	SAUSA300_0094	YP_498651.1	DUF4865 family protein
1	gene	103051	103794	SAUSA300_RS00495	SAUSA300_RS00495	SAUSA300_0095	YP_498652.1	LysR family transcriptional regulator
1	gene	104228	104830	SAUSA300_RS00500	SAUSA300_RS00500	SAUSA300_0096	YP_498653.1	hypothetical protein
1	gene	105097	108249	SAUSA300_RS00505	SAUSA300_RS00505	SAUSA300_0097	YP_498654.1	DNA2/NAM7 family helicase
1	gene	108306	108788	SAUSA300_RS00510	SAUSA300_RS00510	SAUSA300_0098	YP_498655.1	hypothetical protein
1	gene	108993	109979	SAUSA300_RS00515	SAUSA300_RS00515	SAUSA300_0099	YP_498656.1	phosphatidylinositol-specific phospholipase C
1	gene	110200	110970	SAUSA300_RS00520	SAUSA300_RS00520	SAUSA300_0100	YP_498657.1	tandem-type lipoprotein
1	gene	111022	111792	SAUSA300_RS00525	SAUSA300_RS00525	SAUSA300_0101	YP_498658.1	tandem-type lipoprotein
1	gene	111856	112626	SAUSA300_RS00530	SAUSA300_RS00530	SAUSA300_0102	YP_498659.1	tandem-type lipoprotein
1	gene	112693	113460	SAUSA300_RS00535	SAUSA300_RS00535	SAUSA300_0103	YP_498660.1	tandem-type lipoprotein
1	gene	113554	115791	SAUSA300_RS00540	SAUSA300_RS00540	SAUSA300_0104	WP_020808042.1	helix-turn-helix domain-containing protein
1	gene	115942	117120	SAUSA300_RS00545	SAUSA300_RS00545	SAUSA300_0105	YP_498662.1	amidohydrolase
1	gene	117122	118510	SAUSA300_RS00550	SAUSA300_RS00550	SAUSA300_0106	YP_498663.1	MFS transporter
1	gene	119003	120664	SAUSA300_RS00555	SAUSA300_RS00555	SAUSA300_0107	YP_498664.1	Na/Pi cotransporter family protein
1	gene	120990	122765	SAUSA300_RS00560	SAUSA300_RS00560	SAUSA300_0108	YP_498665.1	oleate hydratase
1	gene	122939	123811	SAUSA300_RS00565	SAUSA300_RS00565	SAUSA300_0109	YP_498666.1	DMT family transporter
1	gene	123924	125321	SAUSA300_RS00570	SAUSA300_RS00570	SAUSA300_0110	YP_498667.1	PLP-dependent aminotransferase family protein
1	gene	125511	125984	SAUSA300_RS00575	SAUSA300_RS00575	SAUSA300_0111	YP_498668.1	DUF1648 domain-containing protein
1	gene	126246	127838	SAUSA300_RS00580	SAUSA300_RS00580	SAUSA300_0112	YP_498669.1	L-lactate permease
1	gene	128167	129693	spa	SAUSA300_RS00585	SAUSA300_0113	YP_498670.1	staphylococcal protein A
1	gene	130114	130866	sarS	SAUSA300_RS00590	SAUSA300_0114	YP_498671.1	HTH-type transcriptional regulator SarS
1	gene	131235	132233	sirC	SAUSA300_RS00595	SAUSA300_0115	WP_000136636.1	staphyloferrin B ABC transporter permease subunit SirC
1	gene	132230	133225	sirB	SAUSA300_RS00600	SAUSA300_0116	YP_498673.1	staphyloferrin B ABC transporter permease subunit SirB
1	gene	133241	134233	sirA	SAUSA300_RS00605	SAUSA300_0117	YP_498674.1	staphyloferrin B ABC transporter substrate-binding protein SirA
1	gene	134464	135444	sbnA	SAUSA300_RS00610	SAUSA300_0118	WP_000570808.1	2%2C3-diaminopropionate biosynthesis protein SbnA
1	gene	135441	136451	sbnB	SAUSA300_RS00615	SAUSA300_0119	YP_498676.1	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB
1	gene	136472	138226	sbnC	SAUSA300_RS00620	SAUSA300_0120	YP_498677.1	staphyloferrin B biosynthesis protein SbnC
1	gene	138219	139475	sbnD	SAUSA300_RS00625	SAUSA300_0121	YP_498678.1	staphyloferrin B export MFS transporter
1	gene	139465	141201	sbnE	SAUSA300_RS00630	SAUSA300_0122	YP_498679.1	L-2%2C3-diaminopropanoate--citrate ligase SbnE
1	gene	141110	142960	sbnF	SAUSA300_RS00635	SAUSA300_0123	YP_498680.1	3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF
1	gene	142935	143711	sbnG	SAUSA300_RS00640	SAUSA300_0124	YP_498681.1	staphyloferrin B biosynthesis citrate synthase SbnG
1	gene	143711	144913	sbnH	SAUSA300_RS00645	SAUSA300_0125	YP_498682.1	staphyloferrin B biosynthesis decarboxylase SbnH
1	gene	144917	145681	sbnI	SAUSA300_RS00650	SAUSA300_0126	YP_498683.1	bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI
1	gene	145877	146284	SAUSA300_RS00660	SAUSA300_RS00660	SAUSA300_0127	YP_498685.1	hypothetical protein
1	gene	146334	146960	SAUSA300_RS00665	SAUSA300_RS00665	SAUSA300_0128	YP_498686.1	MFS transporter
1	gene	147172	147948	SAUSA300_RS00670	SAUSA300_RS00670	SAUSA300_0129	YP_498687.1	(S)-acetoin forming diacetyl reductase
1	gene	148092	148214	SAUSA300_RS00675	SAUSA300_RS00675		YP_498688.1	hypothetical protein
1	gene	148284	149264	SAUSA300_RS00680	SAUSA300_RS00680	SAUSA300_0130	YP_498689.1	NAD-dependent epimerase/dehydratase family protein
1	gene	149227	149919	SAUSA300_RS00685	SAUSA300_RS00685	SAUSA300_0131	YP_498690.1	sugar transferase
1	gene	150129	151295	SAUSA300_RS00690	SAUSA300_RS00690	SAUSA300_0132	YP_498691.1	glycosyltransferase family 4 protein
1	gene	151276	152514	SAUSA300_RS00695	SAUSA300_RS00695	SAUSA300_0133	YP_498692.1	O-antigen ligase family protein
1	gene	152504	153934	SAUSA300_RS00700	SAUSA300_RS00700	SAUSA300_0134	YP_498693.1	lipopolysaccharide biosynthesis protein
1	gene	154202	154801	SAUSA300_RS00705	SAUSA300_RS00705	SAUSA300_0135	YP_498694.1	superoxide dismutase
1	gene	155169	155894	sasD	SAUSA300_RS00710	SAUSA300_0136	WP_070002951.1	cell-wall-anchored protein SasD
1	gene	156086	156841	SAUSA300_RS00715	SAUSA300_RS00715	SAUSA300_0137	YP_498696.1	GntR family transcriptional regulator
1	gene	157077	157784	deoD	SAUSA300_RS00725	SAUSA300_0138	YP_498698.1	purine-nucleoside phosphorylase
1	gene	157791	159143	tet(38)	SAUSA300_RS00730	SAUSA300_0139	WP_001100300.1	tetracycline efflux MFS transporter Tet(38)
1	gene	159224	159886	deoC	SAUSA300_RS00735	SAUSA300_0140	YP_498700.1	deoxyribose-phosphate aldolase
1	gene	159914	161092	deoB	SAUSA300_RS00740	SAUSA300_0141	YP_498701.1	phosphopentomutase
1	gene	161223	162038	phnE	SAUSA300_RS00745	SAUSA300_0142	YP_498702.1	phosphonate ABC transporter%2C permease protein PhnE
1	gene	162035	162835	phnE	SAUSA300_RS00750	SAUSA300_0143	YP_498703.1	phosphonate ABC transporter%2C permease protein PhnE
1	gene	162837	163610	phnC	SAUSA300_RS00755	SAUSA300_0144	YP_498704.1	phosphonate ABC transporter ATP-binding protein
1	gene	163824	164780	SAUSA300_RS00760	SAUSA300_RS00760	SAUSA300_0145	YP_498705.1	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein
1	gene	165009	166553	SAUSA300_RS00765	SAUSA300_RS00765	SAUSA300_0146	YP_498706.1	hypothetical protein
1	gene	166604	168139	SAUSA300_RS00770	SAUSA300_RS00770	SAUSA300_0147	YP_498707.1	bifunctional metallophosphatase/5'-nucleotidase
1	pseudogene	168214	168426	SAUSA300_RS00775	SAUSA300_RS00775	SAUSA300_0148	WP_001625397.1	zinc peptidase
1	pseudogene	168651	169559	SAUSA300_RS15710	SAUSA300_RS15710	SAUSA300_0149	WP_002440612.1	replication initiation protein
1	gene	169715	169969	SAUSA300_RS00790	SAUSA300_RS00790		WP_000905716.1	hypothetical protein
1	pseudogene	170273	170757	tnpA	SAUSA300_RS15720	SAUSA300_0150	YP_500412.1	IS200/IS605 family transposase
1	gene	171207	173816	adhE	SAUSA300_RS00800	SAUSA300_0151	YP_498713.1	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
1	gene	174161	174829	capA	SAUSA300_RS00805	SAUSA300_0152	YP_498714.1	capsular polysaccharide type 5/8 biosynthesis protein CapA
1	gene	174845	175531	cap8B	SAUSA300_RS00810	SAUSA300_0153	YP_498715.1	type 8 capsular polysaccharide synthesis protein Cap8B
1	gene	175534	176298	cap8C	SAUSA300_RS00815	SAUSA300_0154	YP_498716.1	type 8 capsular polysaccharide synthesis protein Cap8C
1	pseudogene	176318	178142	cap8D	SAUSA300_RS00820	SAUSA300_0155	YP_498717.1	type 8 capsular polysaccharide synthesis protein Cap8D
1	gene	178132	179160	cap8E	SAUSA300_RS00825	SAUSA300_0156	YP_498718.1	type 8 capsular polysaccharide synthesis protein Cap8E
1	gene	179173	180282	cap8F	SAUSA300_RS00830	SAUSA300_0157	YP_498719.1	type 8 capsular polysaccharide synthesis protein Cap8F
1	gene	180286	181410	cap8G	SAUSA300_RS00835	SAUSA300_0158	YP_498720.1	type 8 capsular polysaccharide synthesis protein Cap8G
1	gene	181413	182039	SAUSA300_RS00840	SAUSA300_RS00840	SAUSA300_0159	YP_498721.1	O-acetyltransferase
1	gene	182044	183153	SAUSA300_RS00845	SAUSA300_RS00845	SAUSA300_0160	YP_498722.1	glycosyltransferase
1	gene	183167	184333	SAUSA300_RS00850	SAUSA300_RS00850	SAUSA300_0161	YP_498723.1	O-antigen ligase family protein
1	gene	184326	185531	SAUSA300_RS00855	SAUSA300_RS00855	SAUSA300_0162	YP_498724.1	capsular polysaccharide biosynthesis protein
1	gene	185532	186737	cap8L	SAUSA300_RS00860	SAUSA300_0163	YP_498725.1	type 8 capsular polysaccharide synthesis protein Cap8L
1	gene	186748	187305	cap8M	SAUSA300_RS00865	SAUSA300_0164	YP_498726.1	type 8 capsular polysaccharide synthesis protein Cap8M
1	gene	187305	188192	capN	SAUSA300_RS00870	SAUSA300_0165	YP_498727.1	capsular polysaccharide type 5/8 biosynthesis epimerase CapN
1	gene	188246	189508	cap8O	SAUSA300_RS00875	SAUSA300_0166	YP_498728.1	type 8 capsular polysaccharide synthesis protein Cap8O
1	gene	189585	190730	cap8P	SAUSA300_RS00880	SAUSA300_0167	YP_498729.1	type 8 capsular polysaccharide synthesis protein Cap8P
1	gene	190795	191121	isdI	SAUSA300_RS00885	SAUSA300_0168	YP_498730.1	staphylobilin-forming heme oxygenase IsdI
1	gene	191128	191511	SAUSA300_RS00890	SAUSA300_RS00890	SAUSA300_0169	YP_498731.1	YbaN family protein
1	gene	191938	193425	SAUSA300_RS00895	SAUSA300_RS00895	SAUSA300_0170	YP_498732.1	aldehyde dehydrogenase family protein
1	gene	194071	195030	SAUSA300_RS00900	SAUSA300_RS00900	SAUSA300_0171	YP_498733.1	cation transporter
1	gene	195092	195295	SAUSA300_RS00905	SAUSA300_RS00905	SAUSA300_0172	YP_498734.1	hypothetical protein
1	gene	195474	195986	SAUSA300_RS00910	SAUSA300_RS00910	SAUSA300_0173	YP_498735.1	DUF4242 domain-containing protein
1	gene	196328	197068	SAUSA300_RS00915	SAUSA300_RS00915	SAUSA300_0174	YP_498736.1	ABC transporter ATP-binding protein
1	gene	197082	198056	SAUSA300_RS00920	SAUSA300_RS00920	SAUSA300_0175	YP_498737.1	ABC transporter substrate-binding protein
1	gene	198053	198814	SAUSA300_RS00925	SAUSA300_RS00925	SAUSA300_0176	YP_498738.1	ABC transporter permease
1	gene	198827	199858	SAUSA300_RS00930	SAUSA300_RS00930	SAUSA300_0177	YP_498739.1	acyl-CoA/acyl-ACP dehydrogenase
1	gene	200075	200434	SAUSA300_RS00935	SAUSA300_RS00935	SAUSA300_0178	YP_498740.1	DUF2294 domain-containing protein
1	gene	200607	201632	SAUSA300_RS00940	SAUSA300_RS00940	SAUSA300_0179	YP_498741.1	NAD-dependent formate dehydrogenase
1	gene	202018	203268	SAUSA300_RS00945	SAUSA300_RS00945	SAUSA300_0180	YP_498742.1	MFS transporter
1	gene	203715	210890	SAUSA300_RS00950	SAUSA300_RS00950	SAUSA300_0181	YP_498743.1	amino acid adenylation domain-containing protein
1	gene	210903	211547	SAUSA300_RS00955	SAUSA300_RS00955	SAUSA300_0182	YP_498744.1	4'-phosphopantetheinyl transferase superfamily protein
1	gene	211875	212354	SAUSA300_RS00960	SAUSA300_RS00960	SAUSA300_0183	YP_498745.1	YagU family protein
1	gene	212624	213388	argB	SAUSA300_RS00965	SAUSA300_0184	YP_498746.1	acetylglutamate kinase
1	gene	213404	214645	argJ	SAUSA300_RS00970	SAUSA300_0185	YP_498747.1	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
1	gene	214657	215688	SAUSA300_RS00975	SAUSA300_RS00975	SAUSA300_0186	YP_498748.1	N-acetyl-gamma-glutamyl-phosphate reductase
1	gene	215727	216911	rocD	SAUSA300_RS00980	SAUSA300_0187	YP_498749.1	ornithine--oxo-acid transaminase
1	gene	217164	218519	brnQ	SAUSA300_RS00985	SAUSA300_0188	YP_498750.1	branched-chain amino acid transport system II carrier protein
1	gene	218795	219352	SAUSA300_RS00990	SAUSA300_RS00990	SAUSA300_0189	WP_000606891.1	isochorismatase family protein
1	gene	219419	221059	SAUSA300_RS00995	SAUSA300_RS00995	SAUSA300_0190	YP_498752.1	alpha-keto acid decarboxylase family protein
1	gene	221253	221354	SAUSA300_RS01000	SAUSA300_RS01000		YP_498753.1	hypothetical protein
1	gene	221333	223378	SAUSA300_RS01005	SAUSA300_RS01005	SAUSA300_0191	WP_017431573.1	PTS transporter subunit EIIC
1	gene	223964	225019	SAUSA300_RS01010	SAUSA300_RS01010	SAUSA300_0192	WP_000145567.1	DUF871 domain-containing protein
1	gene	225019	225915	murQ	SAUSA300_RS01015	SAUSA300_0193	YP_498756.1	N-acetylmuramic acid 6-phosphate etherase
1	gene	225927	227381	SAUSA300_RS01020	SAUSA300_RS01020	SAUSA300_0194	YP_498757.1	PTS transporter subunit EIIC
1	gene	227384	228259	SAUSA300_RS01025	SAUSA300_RS01025	SAUSA300_0195	YP_498758.1	MurR/RpiR family transcriptional regulator
1	gene	228453	228734	SAUSA300_RS01030	SAUSA300_RS01030		YP_498759.1	hypothetical protein
1	gene	228947	231736	SAUSA300_RS01035	SAUSA300_RS01035	SAUSA300_0196	YP_498760.1	type I restriction endonuclease subunit R
1	gene	231941	232783	SAUSA300_RS01040	SAUSA300_RS01040	SAUSA300_0197	YP_498761.1	sce7726 family protein
1	gene	232785	233708	SAUSA300_RS01045	SAUSA300_RS01045	SAUSA300_0198	YP_498762.1	sce7725 family protein
1	gene	233695	234807	SAUSA300_RS01050	SAUSA300_RS01050	SAUSA300_0199	YP_498763.1	RES family NAD+ phosphorylase
1	gene	235072	236664	SAUSA300_RS01055	SAUSA300_RS01055	SAUSA300_0200	YP_498764.1	ABC transporter ATP-binding protein
1	gene	236621	238099	SAUSA300_RS01060	SAUSA300_RS01060	SAUSA300_0201	YP_498765.1	ABC transporter permease
1	gene	238105	239268	SAUSA300_RS01065	SAUSA300_RS01065	SAUSA300_0202	YP_498766.1	ABC transporter permease
1	gene	239285	241060	SAUSA300_RS01070	SAUSA300_RS01070	SAUSA300_0203	YP_498767.1	peptide ABC transporter substrate-binding protein
1	gene	241098	243104	ggt	SAUSA300_RS01075	SAUSA300_0204	YP_498768.1	gamma-glutamyltransferase
